,Formula,Elements,Composition,Symmetry,Crystal system,Density [g/m$^3$],Volume [$\mathring{A}^3$],Bulk modulus[GPa],Shear modulus [GPa],Poisson,Metal,Experimental report
0,TePb,"[Element Pb, Element Te]",Te1 Pb1,crystal_system=<CrystalSystem.cubic: 'Cubic'> symbol='Fm-3m' number=225 point_group='m-3m' symprec=0.1 version='1.16.2',cubic,7.94335593467838,69.98911846195519,40.046747540647814,24.23189641662306,0.2482350482095102,False,True
1,Sr3CrN3,"[Element Cr, Element N, Element Sr]",Sr3 Cr1 N3,crystal_system=<CrystalSystem.hex_: 'Hexagonal'> symbol='P6_3/m' number=176 point_group='6/m' symprec=0.1 version='1.16.2',hex_,4.3162763207161605,274.59172119982765,40.0650446784522,28.612697889689425,0.2115807260994683,True,True
2,Li2S,"[Element Li, Element S]",Li2 S1,crystal_system=<CrystalSystem.cubic: 'Cubic'> symbol='Fm-3m' number=225 point_group='m-3m' symprec=0.1 version='1.16.2',cubic,1.6739401999019223,45.579160174025624,40.07612527460371,33.15290852535193,0.17577946032305966,False,True
3,YMg3,"[Element Mg, Element Y]",Y1 Mg3,crystal_system=<CrystalSystem.cubic: 'Cubic'> symbol='Fm-3m' number=225 point_group='m-3m' symprec=0.1 version='1.16.2',cubic,2.763456301013589,97.23687076826958,40.12903944647255,18.910194285517242,0.2963687102517846,True,False
4,Ta2Se,"[Element Se, Element Ta]",Ta2 Se1,crystal_system=<CrystalSystem.tet: 'Tetragonal'> symbol='P4/nmm' number=129 point_group='4/mmm' symprec=0.1 version='1.16.2',tet,12.499426177623938,117.13469111504334,40.14194078852232,25.858963015843337,0.23484293378404755,True,True
5,Na2LiAlP2,"[Element Al, Element Li, Element Na, Element P]",Na2 Li1 Al1 P2,crystal_system=<CrystalSystem.ortho: 'Orthorhombic'> symbol='Cmce' number=64 point_group='mmm' symprec=0.1 version='1.16.2',ortho,2.0500512827683885,459.5920234536306,40.22427523234026,27.663012584086047,0.22026639444006751,False,True
6,As,[Element As],As1,crystal_system=<CrystalSystem.trig: 'Trigonal'> symbol='R-3m' number=166 point_group='-3m' symprec=0.1 version='1.16.2',trig,5.50131420167325,45.229281284947724,40.23288513297928,27.914910238323735,0.21824668106215583,True,True
7,Na3HfF7,"[Element F, Element Hf, Element Na]",Na3 Hf1 F7,crystal_system=<CrystalSystem.mono: 'Monoclinic'> symbol='Cm' number=8 point_group='m' symprec=0.1 version='1.16.2',mono,4.305299809926522,146.73751212908604,40.27826052033322,16.45392963064396,0.3202263373897256,False,False
8,Na3(CuS)4,"[Element Cu, Element Na, Element S]",Na3 Cu4 S4,crystal_system=<CrystalSystem.ortho: 'Orthorhombic'> symbol='Pbam' number=55 point_group='mmm' symprec=0.1 version='1.16.2',ortho,3.8985907680084244,384.5437890032126,40.281278905720285,18.647994280565356,0.2994721897276981,True,True
9,LiMg2Zn,"[Element Li, Element Mg, Element Zn]",Li1 Mg2 Zn1,crystal_system=<CrystalSystem.cubic: 'Cubic'> symbol='Fm-3m' number=225 point_group='m-3m' symprec=0.1 version='1.16.2',cubic,2.8431781166894283,70.64587488096393,40.330931555298925,27.127269841307317,0.22528431649459688,True,False
10,CaMgSn,"[Element Ca, Element Mg, Element Sn]",Ca1 Mg1 Sn1,crystal_system=<CrystalSystem.ortho: 'Orthorhombic'> symbol='Pnma' number=62 point_group='mmm' symprec=0.1 version='1.16.2',ortho,3.762152979400318,323.25435035281976,40.3638134164663,29.075458943956626,0.20956856237819482,True,True
11,ZnSnSb2,"[Element Sb, Element Sn, Element Zn]",Zn1 Sn1 Sb2,crystal_system=<CrystalSystem.tet: 'Tetragonal'> symbol='I-42d' number=122 point_group='-42m' symprec=0.1 version='1.16.2',tet,5.619185005334437,252.7452878763132,40.40913013646486,22.882615752338435,0.26182137144601675,True,True
12,LiScTl2,"[Element Li, Element Sc, Element Tl]",Li1 Sc1 Tl2,crystal_system=<CrystalSystem.cubic: 'Cubic'> symbol='Fm-3m' number=225 point_group='m-3m' symprec=0.1 version='1.16.2',cubic,8.742700269192705,87.49582333603125,40.437985255138564,21.67769283550075,0.27259833303969105,True,False
13,HfCu2Te3,"[Element Cu, Element Hf, Element Te]",Hf1 Cu2 Te3,crystal_system=<CrystalSystem.mono: 'Monoclinic'> symbol='C2/m' number=12 point_group='2/m' symprec=0.1 version='1.16.2',mono,7.62557268855877,299.80310999049266,40.495598747189895,23.241047396282315,0.2591232604718654,False,True
14,LiP,"[Element Li, Element P]",Li1 P1,crystal_system=<CrystalSystem.mono: 'Monoclinic'> symbol='P2_1/c' number=14 point_group='2/m' symprec=0.1 version='1.16.2',mono,2.026625484183503,248.52719555021827,40.54967911940943,26.549461297780866,0.23127803380040182,False,True
15,Li2B4O7,"[Element B, Element Li, Element O]",Li2 B4 O7,crystal_system=<CrystalSystem.tet: 'Tetragonal'> symbol='I4_1cd' number=110 point_group='4mm' symprec=0.1 version='1.16.2',tet,2.4072358388353647,466.64867875942014,40.573165734126974,41.50719930890727,0.11856240251082238,False,True
16,Yb(CdSb)2,"[Element Cd, Element Sb, Element Yb]",Yb1 Cd2 Sb2,crystal_system=<CrystalSystem.trig: 'Trigonal'> symbol='P-3m1' number=164 point_group='-3m' symprec=0.1 version='1.16.2',trig,7.479222634746412,142.39980805841486,40.57484896574329,21.148010242786505,0.27796984949956555,False,True
17,Sr3(AlGe)2,"[Element Al, Element Ge, Element Sr]",Sr3 Al2 Ge2,crystal_system=<CrystalSystem.ortho: 'Orthorhombic'> symbol='Immm' number=71 point_group='mmm' symprec=0.1 version='1.16.2',ortho,3.871446172086714,198.2050578461429,40.586251803386446,29.689312585285766,0.2059456124638841,True,True
18,SrSe,"[Element Se, Element Sr]",Sr1 Se1,crystal_system=<CrystalSystem.cubic: 'Cubic'> symbol='Fm-3m' number=225 point_group='m-3m' symprec=0.1 version='1.16.2',cubic,4.46861550539798,61.901185586472266,40.62245700169337,27.18354343435474,0.22643364648325792,False,True
19,BiO2,"[Element Bi, Element O]",Bi1 O2,crystal_system=<CrystalSystem.mono: 'Monoclinic'> symbol='C2/c' number=15 point_group='2/m' symprec=0.1 version='1.16.2',mono,9.362232999004997,170.96578385970207,40.693579712731825,23.6745326468596,0.25636010598190534,False,True
20,NiPtF6,"[Element F, Element Ni, Element Pt]",Ni1 Pt1 F6,crystal_system=<CrystalSystem.trig: 'Trigonal'> symbol='R-3' number=148 point_group='-3' symprec=0.1 version='1.16.2',trig,6.462745544910443,94.49433324832349,40.7325364743863,27.476348914726344,0.22463798091683554,False,True
21,Ba2CuBrO2,"[Element Ba, Element Br, Element Cu, Element O]",Ba2 Cu1 Br1 O2,crystal_system=<CrystalSystem.trig: 'Trigonal'> symbol='R-3m' number=166 point_group='-3m' symprec=0.1 version='1.16.2',trig,4.633837672303171,161.29466248966747,40.73780375905177,14.32639484772366,0.3426129867803448,False,True
22,Mg2Sn,"[Element Mg, Element Sn]",Mg2 Sn1,crystal_system=<CrystalSystem.cubic: 'Cubic'> symbol='Fm-3m' number=225 point_group='m-3m' symprec=0.1 version='1.16.2',cubic,3.5971422651211333,77.2394796051125,40.76445340211364,25.848896028061407,0.23826951858528553,True,True
23,KSmS2,"[Element K, Element S, Element Sm]",K1 Sm1 S2,crystal_system=<CrystalSystem.trig: 'Trigonal'> symbol='R-3m' number=166 point_group='-3m' symprec=0.1 version='1.16.2',trig,3.883473905731944,108.43211238297596,40.77166720629894,26.054445337352714,0.23659221081040163,False,True
24,GaAgTe2,"[Element Ag, Element Ga, Element Te]",Ga1 Ag1 Te2,crystal_system=<CrystalSystem.tet: 'Tetragonal'> symbol='I-42d' number=122 point_group='-42m' symprec=0.1 version='1.16.2',tet,5.8639726644300865,245.11256665298265,40.78455890846227,16.922004066564458,0.3177499046817543,False,True
25,Na2CN2,"[Element C, Element N, Element Na]",Na2 C1 N2,crystal_system=<CrystalSystem.mono: 'Monoclinic'> symbol='C2/m' number=12 point_group='2/m' symprec=0.1 version='1.16.2',mono,2.240674880915347,63.736333599761366,40.83000007722816,17.636256734450818,0.3112103636075177,False,True
26,Yb(MgSb)2,"[Element Mg, Element Sb, Element Yb]",Yb1 Mg2 Sb2,crystal_system=<CrystalSystem.trig: 'Trigonal'> symbol='P-3m1' number=164 point_group='-3m' symprec=0.1 version='1.16.2',trig,5.511330420959543,140.1536287268798,40.84195048423292,27.511260031658516,0.22495544842723644,False,False
27,Ni2SbTe2,"[Element Ni, Element Sb, Element Te]",Ni2 Sb1 Te2,crystal_system=<CrystalSystem.hex_: 'Hexagonal'> symbol='P6_3/mmc' number=194 point_group='6/mmm' symprec=0.1 version='1.16.2',hex_,7.641616561246618,214.84516195478452,40.89299556885784,20.291180375659984,0.2871110373258264,True,True
28,ScTlSe2,"[Element Sc, Element Se, Element Tl]",Sc1 Tl1 Se2,crystal_system=<CrystalSystem.trig: 'Trigonal'> symbol='R-3m' number=166 point_group='-3m' symprec=0.1 version='1.16.2',trig,6.4477421898270135,104.88475063809506,40.945410117565395,24.61786083193723,0.2495709277969896,False,True
29,Mn(SbO2)2,"[Element Mn, Element O, Element Sb]",Mn1 Sb2 O4,crystal_system=<CrystalSystem.tet: 'Tetragonal'> symbol='P4_2/mbc' number=135 point_group='4/mmm' symprec=0.1 version='1.16.2',tet,5.309108237537013,453.463543407749,41.03132033335243,13.766225839890195,0.3491209223323371,True,True
30,YMg,"[Element Mg, Element Y]",Y1 Mg1,crystal_system=<CrystalSystem.cubic: 'Cubic'> symbol='Pm-3m' number=221 point_group='m-3m' symprec=0.1 version='1.16.2',cubic,3.4028990134008965,55.24437794000597,41.07712602954673,19.794898404708835,0.2923993525172698,True,True
31,Rb2NiF4,"[Element F, Element Ni, Element Rb]",Rb2 Ni1 F4,crystal_system=<CrystalSystem.tet: 'Tetragonal'> symbol='I4/mmm' number=139 point_group='4/mmm' symprec=0.1 version='1.16.2',tet,4.4563805830622485,113.88127174767294,41.087763523390024,20.061283413887033,0.29004350555978026,False,True
32,KrF2,"[Element F, Element Kr]",Kr1 F2,crystal_system=<CrystalSystem.tet: 'Tetragonal'> symbol='P4_2/mnm' number=136 point_group='4/mmm' symprec=0.1 version='1.16.2',tet,3.3653795210660036,120.19151651111338,41.11772754103259,1.5672531898838904,0.48118098316319247,False,True
33,HgSe,"[Element Hg, Element Se]",Hg1 Se1,crystal_system=<CrystalSystem.cubic: 'Cubic'> symbol='F-43m' number=216 point_group='-43m' symprec=0.1 version='1.16.2',cubic,7.818772105699181,59.37040877936157,41.173687723231744,13.251026442883006,0.35467400753598954,True,True
34,NaAlSi,"[Element Al, Element Na, Element Si]",Na1 Al1 Si1,crystal_system=<CrystalSystem.tet: 'Tetragonal'> symbol='P4/nmm' number=129 point_group='4/mmm' symprec=0.1 version='1.16.2',tet,2.105465053062547,123.12375236083312,41.31547098874734,22.78979794029315,0.2670329859327365,True,True
35,LiMg2Hg,"[Element Hg, Element Li, Element Mg]",Li1 Mg2 Hg1,crystal_system=<CrystalSystem.cubic: 'Cubic'> symbol='Fm-3m' number=225 point_group='m-3m' symprec=0.1 version='1.16.2',cubic,5.626570184252359,75.59350068153596,41.33630095474066,22.17581417329423,0.2724541803408581,True,False
36,YAgTe2,"[Element Ag, Element Te, Element Y]",Y1 Ag1 Te2,crystal_system=<CrystalSystem.tet: 'Tetragonal'> symbol='P-42_1m' number=113 point_group='-42m' symprec=0.1 version='1.16.2',tet,6.2679826397396345,239.4775513116601,41.38296841291407,19.845415925309702,0.29326876471711755,False,True
37,As2Pb3O8,"[Element As, Element O, Element Pb]",As2 Pb3 O8,crystal_system=<CrystalSystem.mono: 'Monoclinic'> symbol='P2_1/c' number=14 point_group='2/m' symprec=0.1 version='1.16.2',mono,7.469210966750884,399.92245709720373,41.38844697756734,20.81426999186201,0.28464968426465037,False,True
38,BaS,"[Element Ba, Element S]",Ba1 S1,crystal_system=<CrystalSystem.cubic: 'Cubic'> symbol='Fm-3m' number=225 point_group='m-3m' symprec=0.1 version='1.16.2',cubic,4.190346371817915,67.12620118023263,41.39019080616292,24.868437917085213,0.2497121271025772,False,True
39,NaCuSe,"[Element Cu, Element Na, Element Se]",Na1 Cu1 Se1,crystal_system=<CrystalSystem.tet: 'Tetragonal'> symbol='P4/nmm' number=129 point_group='4/mmm' symprec=0.1 version='1.16.2',tet,4.935520852660742,111.36096815326336,41.42068770530692,20.20699878912032,0.29019384646102675,False,True
40,Cr2Te3,"[Element Cr, Element Te]",Cr2 Te3,crystal_system=<CrystalSystem.trig: 'Trigonal'> symbol='P-31c' number=163 point_group='-3m' symprec=0.1 version='1.16.2',trig,6.279930491496003,514.8703263584043,41.46398141511257,26.017546003649212,0.24053286836575347,True,True
41,AlTlF4,"[Element Al, Element F, Element Tl]",Al1 Tl1 F4,crystal_system=<CrystalSystem.mono: 'Monoclinic'> symbol='C2/c' number=15 point_group='2/m' symprec=0.1 version='1.16.2',mono,6.289144082639177,162.30530237278367,41.48598292932898,23.096344901898384,0.26520834137392224,False,True
42,Ca5Au4,"[Element Au, Element Ca]",Ca5 Au4,crystal_system=<CrystalSystem.mono: 'Monoclinic'> symbol='P2_1/c' number=14 point_group='2/m' symprec=0.1 version='1.16.2',mono,6.938252567919399,473.040765825778,41.59013181724541,15.54364878107577,0.333833645811476,True,True
43,CaCdSn,"[Element Ca, Element Cd, Element Sn]",Ca1 Cd1 Sn1,crystal_system=<CrystalSystem.hex_: 'Hexagonal'> symbol='P-62m' number=189 point_group='-6m2' symprec=0.1 version='1.16.2',hex_,5.646113799439611,239.2813271143509,41.96871617718475,25.706843718477554,0.24566648276339761,True,True
44,Sr(ZnSb)2,"[Element Sb, Element Sr, Element Zn]",Sr1 Zn2 Sb2,crystal_system=<CrystalSystem.trig: 'Trigonal'> symbol='P-3m1' number=164 point_group='-3m' symprec=0.1 version='1.16.2',trig,5.61930711027997,136.5113689417455,42.031951966380504,18.162630313061484,0.3111449372238898,True,True
45,Mg3In,"[Element In, Element Mg]",Mg3 In1,crystal_system=<CrystalSystem.cubic: 'Cubic'> symbol='Pm-3m' number=221 point_group='m-3m' symprec=0.1 version='1.16.2',cubic,3.52041609874121,88.55145864759722,42.05145055054905,16.493966041579622,0.326559825853844,True,True
46,Li2GePbS4,"[Element Ge, Element Li, Element Pb, Element S]",Li2 Ge1 Pb1 S4,crystal_system=<CrystalSystem.tet: 'Tetragonal'> symbol='I-42m' number=121 point_group='-42m' symprec=0.1 version='1.16.2',tet,4.10466786900527,170.71237400063112,42.106356426722144,19.43859240339536,0.2999563915316199,False,True
47,Li3Au,"[Element Au, Element Li]",Li3 Au1,crystal_system=<CrystalSystem.cubic: 'Cubic'> symbol='Fm-3m' number=225 point_group='m-3m' symprec=0.1 version='1.16.2',cubic,6.030436560744027,59.970465484485025,42.2634298400043,6.418848836301498,0.4277206250768017,True,True
48,Sr(Li2P)2,"[Element Li, Element P, Element Sr]",Sr1 Li4 P2,crystal_system=<CrystalSystem.trig: 'Trigonal'> symbol='R-3m' number=166 point_group='-3m' symprec=0.1 version='1.16.2',trig,2.372973707555022,124.09152381427627,42.293557690053454,35.77281172469742,0.17010102701013544,False,True
49,LiZn,"[Element Li, Element Zn]",Li1 Zn1,crystal_system=<CrystalSystem.cubic: 'Cubic'> symbol='Fd-3m' number=227 point_group='m-3m' symprec=0.1 version='1.16.2',cubic,4.3109824619887736,55.736715483220095,42.356846796452274,24.89762409601455,0.25424829094637885,True,True
50,AlAgTe2,"[Element Ag, Element Al, Element Te]",Al1 Ag1 Te2,crystal_system=<CrystalSystem.tet: 'Tetragonal'> symbol='I-42d' number=122 point_group='-42m' symprec=0.1 version='1.16.2',tet,5.285977139432593,245.06077562489892,42.36020434817861,16.689672597231578,0.3258714672221917,False,True
51,MgCd,"[Element Cd, Element Mg]",Mg1 Cd1,crystal_system=<CrystalSystem.ortho: 'Orthorhombic'> symbol='Amm2' number=38 point_group='mm2' symprec=0.1 version='1.16.2',ortho,5.393722651617833,126.270262873745,42.41226250830198,16.638045929418915,0.32653624476965004,True,False
52,Na2SO4,"[Element Na, Element O, Element S]",Na2 S1 O4,crystal_system=<CrystalSystem.ortho: 'Orthorhombic'> symbol='Fddd' number=70 point_group='mmm' symprec=0.1 version='1.16.2',ortho,2.7387802129023715,172.24202151828393,42.52314118192129,22.71501341976311,0.2732797832056263,False,True
53,AgCl,"[Element Ag, Element Cl]",Ag1 Cl1,crystal_system=<CrystalSystem.cubic: 'Cubic'> symbol='Fm-3m' number=225 point_group='m-3m' symprec=0.1 version='1.16.2',cubic,5.582622712233539,42.630581348524416,42.627551690755126,6.917251375895068,0.423027564801517,False,True
